-76.58	34.75
-76.33	35
-76.83	35
-76.33	35.33
-76	35.33
-75.83	35.58
-75.83	35.92
-76.25	35.92
-76.75	35.92
-76.33	36.08
-76	36.17
-75.75	36.08
-75.5	35.75
-75.75	36.08
-75.83	36.5
-76	36.83
-76.42	37.17
-76.42	37.5
-76.33	37.92
-76.92	38.25
-76.42	38.17
-76.5	38.5
-76.58	39
-76.42	39.33
-76	39.5
-76.17	39.17
-76.17	38.83
-76.33	38.42
-75.92	38.25
-76	38
-75.67	38
-75.83	37.67
-76	37.17
-75.75	37.25
-75.58	37.75
-75.25	38.17
-75	38.42
-75.42	39
-75.58	39.5
-75.25	39.33
-75	39
-74.5	39.33
-74.17	39.83
-74	40.33
-74	40.33
-74.33	40.5
-74	40.83
-73.5	41.08
-73	41.25
-72.5	41.25
-72	41.25
-71.5	41.42
-71.33	41.75
-71.08	41.5
-70.67	41.67
-70.67	41.5
-70	41.67
-70	42
-70	41.75
-70.5	41.75
-70.67	42.17
-71	42.33
-70.75	42.58
-70.83	42.83
-70.58	43.17
-70.25	43.5
-70.25	43.67
-69.75	43.83
-69.17	44
-68.83	44.42
-68.58	44.25
-68	44.42
-67.5	44.58
-67	44.83
-67	45.17
-66.25	45.17
-65.58	45.33
-64.83	45.67
-64.92	45.33
-64.25	45.42
-64.92	45.08
-65.33	44.92
-65.92	44.58
-66.17	44.17
-66	43.75
-65.5	43.5
-65	43.83
-64.5	44.17
-64.17	44.5
-63.67	44.5
-63	44.75
-62	45
-61.17	45.17
-61	45.5
-60.42	45.67
-59.83	46
-60.5	46.33
-60.42	46.83
-60.67	47
-61	46.58
-61.5	46.17
-61.5	45.75
-62	45.83
-62.58	45.67
-63.25	45.75
-64	46.08
-64.58	46.25
-64.92	46.75
-65	47.33
-64.83	47.75
-65.67	47.58
-66.33	48.08
-65.33	48.08
-64.83	48.25
-64.25	48.5
-64.25	48.83
-64.58	49.08
-65.25	49.25
-66	49.17
-66.75	49.08
-67.42	48.83
-68	48.67
-68.67	48.42
-69.25	48.08
-69.67	47.67
-70.08	47.33
-70.5	47
-71.17	46.83
-70.75	47.17
-70.42	47.5
-70	47.83
-69.67	48.17
-69.25	48.58
-68.67	48.92
-68	49.33
-67.33	49.33
-67.17	49.75
-66.75	50.08
-66	50.25
-65.42	50.25
-64.75	50.25
-64	50.33
-63.42	50.25
-63.42	50.25
-62.83	50.25
-62.17	50.25
-61.67	50.08
-60.92	50.17
-60	50.17
-59.5	50.5
-59.08	50.83
-58.67	51.17
-57.83	51.42
-56.83	51.5
-56.17	51.83
-55.67	52.08
-56	52.75
-55.83	53.17
-56.5	53.67
-57.25	53.67
-57.33	54.08
-58.33	54.17
-57.5	54.5
-58	54.75
-58.92	54.83
-59.25	55.17
-60.33	55.25
-60.5	55.67
-61.33	55.92
-61.75	56.25
-61.75	56.75
-61.33	57.08
-61.83	57.33
-61.83	57.67
-62.33	58
-62.83	58.5
-63.25	59
-63.83	59.5
-64.33	60
-64.67	60.33
-65.17	60
-65.58	59.75
-65.25	59.42
-65.67	59
-66.42	58.75
-66.75	58.42
-67.75	58.17
-68.42	58.75
-69	58.83
-69.5	59.25
-69.5	59.58
-69.42	60.08
-69.67	60.5
-69.5	60.92
-70.25	61
-71	61
-71.75	61.25
-71.5	61.58
-72.25	61.83
-72.92	62.17
-73.67	62.42
-74.83	62.25
-75.5	62.25
-76.42	62.42
-77.42	62.5
-78.08	62.25
-78.08	61.83
-77.5	61.58
-77.75	61.17
-78.08	60.75
-77.58	60.5
-77.42	60
-77.42	59.58
-77.92	59.17
-78.58	59.08
-78.67	58.75
-78.08	58.42
-77.5	58.25
-77.17	57.67
-77	57.25
-76.75	56.67
-76.75	56
-77.25	55.58
-78	55.17
-78.75	54.83
-79.5	54.58
-79.17	54.17
-78.92	53.75
-78.83	53.17
-78.83	52.67
-78.42	52.17
-79	51.67
-79.83	51.33
-79.75	51
-80.42	51.33
-80.75	51.75
-81.25	52.08
-81.67	52.5
